"ZIP
code",Size of adjusted gross income,Number of returns
00000,Total,"9,224,775"
00000,"$1 under $25,000",3702630
00000,"$25,000 under $50,000",2124251
00000,"$50,000 under $75,000",1219598
00000,"$75,000 under $100,000",766320
00000,"$100,000 under $200,000",1021899
00000,"$200,000 or more",390077
,,
10001,,"13,590"
10001,"$1 under $25,000",4329
10001,"$25,000 under $50,000",2659
10001,"$50,000 under $75,000",1875
10001,"$75,000 under $100,000",1241
10001,"$100,000 under $200,000",1921
10001,"$200,000 or more",1565
,,
10002,,"44,538"
10002,"$1 under $25,000",25950
10002,"$25,000 under $50,000",8925
10002,"$50,000 under $75,000",4008
10002,"$75,000 under $100,000",2126
10002,"$100,000 under $200,000",2442
10002,"$200,000 or more",1087
,,
10003,,"30,025"
10003,"$1 under $25,000",6733
10003,"$25,000 under $50,000",5261
10003,"$50,000 under $75,000",4386
10003,"$75,000 under $100,000",3059
10003,"$100,000 under $200,000",5581
10003,"$200,000 or more",5005
,,
10004,,"2,335"
10004,"$1 under $25,000",364
10004,"$25,000 under $50,000",309
10004,"$50,000 under $75,000",253
10004,"$75,000 under $100,000",214
10004,"$100,000 under $200,000",497
10004,"$200,000 or more",698
,,
10005,,"5,603"
10005,"$1 under $25,000",908
10005,"$25,000 under $50,000",859
10005,"$50,000 under $75,000",762
10005,"$75,000 under $100,000",524
10005,"$100,000 under $200,000",1191
10005,"$200,000 or more",1359
,,
10006,,"2,425"
10006,"$1 under $25,000",404
10006,"$25,000 under $50,000",373
10006,"$50,000 under $75,000",308
10006,"$75,000 under $100,000",256
10006,"$100,000 under $200,000",576
10006,"$200,000 or more",508
,,
10007,,"3,528"
10007,"$1 under $25,000",526
10007,"$25,000 under $50,000",351
10007,"$50,000 under $75,000",327
10007,"$75,000 under $100,000",215
10007,"$100,000 under $200,000",638
10007,"$200,000 or more",1471
,,
10009,,"32,080"
10009,"$1 under $25,000",11340
10009,"$25,000 under $50,000",7535
10009,"$50,000 under $75,000",5169
10009,"$75,000 under $100,000",2918
10009,"$100,000 under $200,000",3689
10009,"$200,000 or more",1429
,,
10010,,"17,488"
10010,"$1 under $25,000",3360
10010,"$25,000 under $50,000",2970
10010,"$50,000 under $75,000",2631
10010,"$75,000 under $100,000",1926
10010,"$100,000 under $200,000",3475
10010,"$200,000 or more",3126
,,
10011,,"30,748"
10011,"$1 under $25,000",6517
10011,"$25,000 under $50,000",4878
10011,"$50,000 under $75,000",4225
10011,"$75,000 under $100,000",3214
10011,"$100,000 under $200,000",6113
10011,"$200,000 or more",5801
,,
10012,,"13,211"
10012,"$1 under $25,000",3278
10012,"$25,000 under $50,000",2424
10012,"$50,000 under $75,000",1881
10012,"$75,000 under $100,000",1341
10012,"$100,000 under $200,000",2262
10012,"$200,000 or more",2025
,,
10013,,"16,292"
10013,"$1 under $25,000",6638
10013,"$25,000 under $50,000",2350
10013,"$50,000 under $75,000",1486
10013,"$75,000 under $100,000",1008
10013,"$100,000 under $200,000",1809
10013,"$200,000 or more",3001
,,
10014,,"19,425"
10014,"$1 under $25,000",3854
10014,"$25,000 under $50,000",3042
10014,"$50,000 under $75,000",2655
10014,"$75,000 under $100,000",2071
10014,"$100,000 under $200,000",4099
10014,"$200,000 or more",3704
,,
10016,,"31,296"
10016,"$1 under $25,000",6082
10016,"$25,000 under $50,000",5540
10016,"$50,000 under $75,000",4976
10016,"$75,000 under $100,000",3522
10016,"$100,000 under $200,000",6094
10016,"$200,000 or more",5082
,,
10017,,"15,328"
10017,"$1 under $25,000",5257
10017,"$25,000 under $50,000",2033
10017,"$50,000 under $75,000",1767
10017,"$75,000 under $100,000",1237
10017,"$100,000 under $200,000",2390
10017,"$200,000 or more",2644
,,
10018,,"6,081"
10018,"$1 under $25,000",1737
10018,"$25,000 under $50,000",1238
10018,"$50,000 under $75,000",746
10018,"$75,000 under $100,000",496
10018,"$100,000 under $200,000",900
10018,"$200,000 or more",964
,,
10019,,"24,677"
10019,"$1 under $25,000",5876
10019,"$25,000 under $50,000",4454
10019,"$50,000 under $75,000",3452
10019,"$75,000 under $100,000",2421
10019,"$100,000 under $200,000",4568
10019,"$200,000 or more",3906
,,
10021,,"24,382"
10021,"$1 under $25,000",4530
10021,"$25,000 under $50,000",3587
10021,"$50,000 under $75,000",3314
10021,"$75,000 under $100,000",2508
10021,"$100,000 under $200,000",4508
10021,"$200,000 or more",5935
,,
10022,,"20,293"
10022,"$1 under $25,000",3482
10022,"$25,000 under $50,000",2847
