"ZIP
code [1]",Size of adjusted gross income,Number of returns
00000,Total,"9,227,570"
00000,"$1 under $25,000",3677650
00000,"$25,000 under $50,000",2073940
00000,"$50,000 under $75,000",1218410
00000,"$75,000 under $100,000",775980
00000,"$100,000 under $200,000",1067870
00000,"$200,000 or more",413720
,,
10001,,"13,300"
10001,"$1 under $25,000",4080
10001,"$25,000 under $50,000",2520
10001,"$50,000 under $75,000",1790
10001,"$75,000 under $100,000",1230
10001,"$100,000 under $200,000",2030
10001,"$200,000 or more",1650
,,
10002,,"43,460"
10002,"$1 under $25,000",24980
10002,"$25,000 under $50,000",8280
10002,"$50,000 under $75,000",4160
10002,"$75,000 under $100,000",2260
10002,"$100,000 under $200,000",2590
10002,"$200,000 or more",1190
,,
10003,,"29,360"
10003,"$1 under $25,000",6080
10003,"$25,000 under $50,000",4850
10003,"$50,000 under $75,000",4450
10003,"$75,000 under $100,000",3160
10003,"$100,000 under $200,000",5680
10003,"$200,000 or more",5140
,,
10004,,"2,420"
10004,"$1 under $25,000",340
10004,"$25,000 under $50,000",300
10004,"$50,000 under $75,000",300
10004,"$75,000 under $100,000",210
10004,"$100,000 under $200,000",490
10004,"$200,000 or more",780
,,
10005,,"5,580"
10005,"$1 under $25,000",780
10005,"$25,000 under $50,000",820
10005,"$50,000 under $75,000",790
10005,"$75,000 under $100,000",560
10005,"$100,000 under $200,000",1170
10005,"$200,000 or more",1460
,,
10006,,"2,310"
10006,"$1 under $25,000",360
10006,"$25,000 under $50,000",380
10006,"$50,000 under $75,000",290
10006,"$75,000 under $100,000",260
10006,"$100,000 under $200,000",590
10006,"$200,000 or more",430
,,
10007,,"3,440"
10007,"$1 under $25,000",520
10007,"$25,000 under $50,000",320
10007,"$50,000 under $75,000",270
10007,"$75,000 under $100,000",210
10007,"$100,000 under $200,000",640
10007,"$200,000 or more",1480
,,
10009,,"31,920"
10009,"$1 under $25,000",10790
10009,"$25,000 under $50,000",7360
10009,"$50,000 under $75,000",5320
10009,"$75,000 under $100,000",3020
10009,"$100,000 under $200,000",3930
10009,"$200,000 or more",1500
,,
10010,,"17,210"
10010,"$1 under $25,000",3070
10010,"$25,000 under $50,000",2770
10010,"$50,000 under $75,000",2610
10010,"$75,000 under $100,000",1950
10010,"$100,000 under $200,000",3550
10010,"$200,000 or more",3260
,,
10011,,"30,690"
10011,"$1 under $25,000",6150
10011,"$25,000 under $50,000",4610
10011,"$50,000 under $75,000",4120
10011,"$75,000 under $100,000",3250
10011,"$100,000 under $200,000",6410
10011,"$200,000 or more",6150
,,
10012,,"12,920"
10012,"$1 under $25,000",3000
10012,"$25,000 under $50,000",2190
10012,"$50,000 under $75,000",1900
10012,"$75,000 under $100,000",1310
10012,"$100,000 under $200,000",2390
10012,"$200,000 or more",2130
,,
10013,,"15,340"
10013,"$1 under $25,000",5610
10013,"$25,000 under $50,000",2210
10013,"$50,000 under $75,000",1460
10013,"$75,000 under $100,000",1000
10013,"$100,000 under $200,000",1830
10013,"$200,000 or more",3230
,,
10014,,"19,170"
10014,"$1 under $25,000",3480
10014,"$25,000 under $50,000",2810
10014,"$50,000 under $75,000",2650
10014,"$75,000 under $100,000",2140
10014,"$100,000 under $200,000",4240
10014,"$200,000 or more",3850
,,
10016,,"31,020"
10016,"$1 under $25,000",5820
10016,"$25,000 under $50,000",5360
10016,"$50,000 under $75,000",5050
10016,"$75,000 under $100,000",3480
10016,"$100,000 under $200,000",6090
10016,"$200,000 or more",5220
,,
10017,,"11,640"
10017,"$1 under $25,000",2120
10017,"$25,000 under $50,000",1600
10017,"$50,000 under $75,000",1560
10017,"$75,000 under $100,000",1250
10017,"$100,000 under $200,000",2380
10017,"$200,000 or more",2730
,,
10018,,"6,070"
10018,"$1 under $25,000",1610
10018,"$25,000 under $50,000",1140
10018,"$50,000 under $75,000",740
10018,"$75,000 under $100,000",550
10018,"$100,000 under $200,000",1000
10018,"$200,000 or more",1030
,,
10019,,"24,510"
10019,"$1 under $25,000",5530
10019,"$25,000 under $50,000",4170
10019,"$50,000 under $75,000",3490
10019,"$75,000 under $100,000",2480
10019,"$100,000 under $200,000",4730
10019,"$200,000 or more",4110
,,
10021,,"24,030"
10021,"$1 under $25,000",4090
10021,"$25,000 under $50,000",3280
10021,"$50,000 under $75,000",3310
10021,"$75,000 under $100,000",2460
