"ZIP
code [1]",Size of adjusted gross income,Number of returns
00000,Total,"9,468,060"
00000,"$1 under $25,000",3445310
00000,"$25,000 under $50,000",2123960
00000,"$50,000 under $75,000",1297130
00000,"$75,000 under $100,000",825290
00000,"$100,000 under $200,000",1242990
00000,"$200,000 or more",533380
,,
10001,,"14,520"
10001,"$1 under $25,000",3740
10001,"$25,000 under $50,000",2500
10001,"$50,000 under $75,000",1950
10001,"$75,000 under $100,000",1410
10001,"$100,000 under $200,000",2580
10001,"$200,000 or more",2340
,,
10002,,"42,180"
10002,"$1 under $25,000",21180
10002,"$25,000 under $50,000",8210
10002,"$50,000 under $75,000",4810
10002,"$75,000 under $100,000",2710
10002,"$100,000 under $200,000",3620
10002,"$200,000 or more",1650
,,
10003,,"28,660"
10003,"$1 under $25,000",5030
10003,"$25,000 under $50,000",3870
10003,"$50,000 under $75,000",3960
10003,"$75,000 under $100,000",3220
10003,"$100,000 under $200,000",6300
10003,"$200,000 or more",6280
,,
10004,,"2,480"
10004,"$1 under $25,000",360
10004,"$25,000 under $50,000",250
10004,"$50,000 under $75,000",290
10004,"$75,000 under $100,000",210
10004,"$100,000 under $200,000",520
10004,"$200,000 or more",850
,,
10005,,"5,940"
10005,"$1 under $25,000",690
10005,"$25,000 under $50,000",750
10005,"$50,000 under $75,000",860
10005,"$75,000 under $100,000",660
10005,"$100,000 under $200,000",1360
10005,"$200,000 or more",1620
,,
10006,,"2,370"
10006,"$1 under $25,000",310
10006,"$25,000 under $50,000",290
10006,"$50,000 under $75,000",330
10006,"$75,000 under $100,000",250
10006,"$100,000 under $200,000",620
10006,"$200,000 or more",570
,,
10007,,"3,440"
10007,"$1 under $25,000",470
10007,"$25,000 under $50,000",320
10007,"$50,000 under $75,000",280
10007,"$75,000 under $100,000",210
10007,"$100,000 under $200,000",590
10007,"$200,000 or more",1570
,,
10009,,"32,410"
10009,"$1 under $25,000",9560
10009,"$25,000 under $50,000",6660
10009,"$50,000 under $75,000",5480
10009,"$75,000 under $100,000",3580
10009,"$100,000 under $200,000",5030
10009,"$200,000 or more",2100
,,
10010,,"17,360"
10010,"$1 under $25,000",2560
10010,"$25,000 under $50,000",2280
10010,"$50,000 under $75,000",2550
10010,"$75,000 under $100,000",1980
10010,"$100,000 under $200,000",4010
10010,"$200,000 or more",3980
,,
10011,,"29,920"
10011,"$1 under $25,000",5120
10011,"$25,000 under $50,000",3680
10011,"$50,000 under $75,000",3650
10011,"$75,000 under $100,000",3130
10011,"$100,000 under $200,000",6870
10011,"$200,000 or more",7470
,,
10012,,"12,470"
10012,"$1 under $25,000",2390
10012,"$25,000 under $50,000",1740
10012,"$50,000 under $75,000",1730
10012,"$75,000 under $100,000",1340
10012,"$100,000 under $200,000",2730
10012,"$200,000 or more",2540
,,
10013,,"14,940"
10013,"$1 under $25,000",4260
10013,"$25,000 under $50,000",2060
10013,"$50,000 under $75,000",1630
10013,"$75,000 under $100,000",1160
10013,"$100,000 under $200,000",2030
10013,"$200,000 or more",3800
,,
10014,,"18,660"
10014,"$1 under $25,000",2770
10014,"$25,000 under $50,000",2160
10014,"$50,000 under $75,000",2330
10014,"$75,000 under $100,000",2040
10014,"$100,000 under $200,000",4640
10014,"$200,000 or more",4720
,,
10016,,"31,940"
10016,"$1 under $25,000",5170
10016,"$25,000 under $50,000",4650
10016,"$50,000 under $75,000",5170
10016,"$75,000 under $100,000",3820
10016,"$100,000 under $200,000",6930
10016,"$200,000 or more",6200
,,
10017,,"11,850"
10017,"$1 under $25,000",1820
10017,"$25,000 under $50,000",1380
10017,"$50,000 under $75,000",1490
10017,"$75,000 under $100,000",1250
10017,"$100,000 under $200,000",2650
10017,"$200,000 or more",3260
,,
10018,,"6,390"
10018,"$1 under $25,000",1430
10018,"$25,000 under $50,000",1020
10018,"$50,000 under $75,000",820
10018,"$75,000 under $100,000",580
10018,"$100,000 under $200,000",1200
10018,"$200,000 or more",1340
,,
10019,,"25,110"
10019,"$1 under $25,000",4920
10019,"$25,000 under $50,000",3650
10019,"$50,000 under $75,000",3560
10019,"$75,000 under $100,000",2540
10019,"$100,000 under $200,000",5400
10019,"$200,000 or more",5040
,,
10021,,"23,530"
10021,"$1 under $25,000",3460
10021,"$25,000 under $50,000",2600
10021,"$50,000 under $75,000",3150
10021,"$75,000 under $100,000",2520
10021,"$100,000 under $200,000",4890
10021,"$200,000 or more",6910
,,
10022,,"19,840"
10022,"$1 under $25,000",2770
10022,"$25,000 under $50,000",2130
10022,"$50,000 under $75,000",2320
10022,"$75,000 under $100,000",2010
10022,"$100,000 under $200,000",4480
10022,"$200,000 or more",6130
,,
10023,,"34,070"
10023,"$1 under $25,000",5910
10023,"$25,000 under $50,000",3920
10023,"$50,000 under $75,000",3720
10023,"$75,000 under $100,000",3290
10023,"$100,000 under $200,000",7610
10023,"$200,000 or more",9620
,,
10024,,"30,410"
10024,"$1 under $25,000",5710
10024,"$25,000 under $50,000",3590
10024,"$50,000 under $75,000",3570
10024,"$75,000 under $100,000",2860
10024,"$100,000 under $200,000",6110
10024,"$200,000 or more",8570
,,
10025,,"45,610"
10025,"$1 under $25,000",12490
10025,"$25,000 under $50,000",7810
10025,"$50,000 under $75,000",6190
10025,"$75,000 under $100,000",4190
10025,"$100,000 under $200,000",7460
10025,"$200,000 or more",7470
,,
10026,,"18,040"
10026,"$1 under $25,000",6900
10026,"$25,000 under $50,000",4270
10026,"$50,000 under $75,000",2550
10026,"$75,000 under $100,000",1410
10026,"$100,000 under $200,000",1880
10026,"$200,000 or more",1030
,,
10027,,"27,180"
10027,"$1 under $25,000",11490
10027,"$25,000 under $50,000",6590
10027,"$50,000 under $75,000",3430
10027,"$75,000 under $100,000",1830
10027,"$100,000 under $200,000",2430
10027,"$200,000 or more",1410
,,
10028,,"25,100"
10028,"$1 under $25,000",3920
10028,"$25,000 under $50,000",2860
10028,"$50,000 under $75,000",3730
10028,"$75,000 under $100,000",2950
10028,"$100,000 under $200,000",5300
10028,"$200,000 or more",6340
,,
10029,,"35,060"
10029,"$1 under $25,000",16590
10029,"$25,000 under $50,000",9360
10029,"$50,000 under $75,000",4620
10029,"$75,000 under $100,000",1880
10029,"$100,000 under $200,000",1780
10029,"$200,000 or more",830
,,
10030,,"13,630"
10030,"$1 under $25,000",6490
10030,"$25,000 under $50,000",3620
10030,"$50,000 under $75,000",1810
10030,"$75,000 under $100,000",810
10030,"$100,000 under $200,000",700
10030,"$200,000 or more",200
,,
10031,,"29,340"
10031,"$1 under $25,000",13840
10031,"$25,000 under $50,000",7940
10031,"$50,000 under $75,000",4010
10031,"$75,000 under $100,000",1660
10031,"$100,000 under $200,000",1510
10031,"$200,000 or more",380
,,
