Geographic Area,"Total Population April 1, 2000r","Total Population April 1, 2010",Population Change Number,Population Change Percent,SUMLEV,State,County,Sub County,Place,FuncStat
Adams village,1616,1775,159,9.8,160,36,,,199,A
Addison village,1797,1763,-34,-1.9,160,36,,,276,A
Afton village,836,822,-14,-1.7,160,36,,,342,A
Airmont village,7799,8628,829,10.6,160,36,,,408,A
Akron village,3085,2868,-217,-7,160,36,,,441,A
Albany city,94444,97856,3412,3.6,160,36,,,1000,A
Albion village,5992,6056,64,1.1,160,36,,,1033,A
Alden village,2666,2605,-61,-2.3,160,36,,,1088,A
Alexander village,481,509,28,5.8,160,36,,,1154,A
Alexandria Bay village,1088,1078,-10,-0.9,160,36,,,1187,A
Alfred village,3954,4174,220,5.6,160,36,,,1198,A
Allegany village,1882,1816,-66,-3.5,160,36,,,1286,A
Almond village,461,466,5,1.1,160,36,,,1440,A
Altamont village,1755,1720,-35,-2,160,36,,,1517,A
Altmar village,348,407,59,17,160,36,,,1550,A
Ames village,173,145,-28,-16.2,160,36,,,1737,A
Amityville village,9441,9523,82,0.9,160,36,,,2044,A
Amsterdam city,18355,18620,265,1.4,160,36,,,2066,A
Andover village,1073,1042,-31,-2.9,160,36,,,2143,A
Angelica village,903,869,-34,-3.8,160,36,,,2176,A
Angola village,2266,2127,-139,-6.1,160,36,,,2198,A
Antwerp village,716,686,-30,-4.2,160,36,,,2286,A
Arcade village,2026,2071,45,2.2,160,36,,,2407,A
Ardsley village,4269,4452,183,4.3,160,36,,,2506,A
Argyle village,289,306,17,5.9,160,36,,,2550,A
Arkport village,832,844,12,1.4,160,36,,,2583,A
Asharoken village,623,654,31,5,160,36,,,2737,A
Athens village,1695,1668,-27,-1.6,160,36,,,2902,A
Atlantic Beach village,1986,1891,-95,-4.8,160,36,,,2968,A
Attica village,2597,2547,-50,-1.9,160,36,,,3001,A
Auburn city,28574,27687,-887,-3.1,160,36,,,3078,A
Aurora village,720,724,4,0.6,160,36,,,3188,A
Avoca village,1030,946,-84,-8.2,160,36,,,3331,A
Avon village,2977,3394,417,14,160,36,,,3353,A
Babylon village,12613,12166,-447,-3.5,160,36,,,3408,A
Bainbridge village,1365,1355,-10,-0.7,160,36,,,4033,A
Baldwinsville village,7066,7378,312,4.4,160,36,,,4198,A
Ballston Spa village,5556,5409,-147,-2.6,160,36,,,4253,A
Barker village,577,533,-44,-7.6,160,36,,,4440,A
Barneveld village,332,284,-48,-14.5,160,36,,,4528,A
Batavia city,16256,15465,-791,-4.9,160,36,,,4715,A
Bath village,5641,5786,145,2.6,160,36,,,4759,A
Baxter Estates village,1006,999,-7,-0.7,160,36,,,4803,A
Bayville village,7135,6669,-466,-6.5,160,36,,,5034,A
Beacon city,14805,15541,736,5,160,36,,,5100,A
Belle Terre village,832,792,-40,-4.8,160,36,,,5672,A
Bellerose village,1173,1193,20,1.7,160,36,,,5639,A
Bellport village,2363,2084,-279,-11.8,160,36,,,5771,A
Belmont village,952,969,17,1.8,160,36,,,5815,A
